,speed,number_of_fish,metabolic_rate_segmented_error,metabolic_rate_segmented
0,1,1,0.26829537749290466,1.4844906330108643
1,1,1,0.26654136180877686,-0.05103039741516113
2,1,1,0.2460348680615425,4.377753973007202
3,1,2,0.2706598788499832,2.2076122760772705
4,1,2,0.24058879166841507,2.898948907852173
5,1,3,0.21614491939544678,3.7309682369232178
6,1,3,0.20868317037820816,4.3760364055633545
7,1,4,0.2623099833726883,5.604615926742554
8,1,4,0.2538852095603943,1.9460465908050537
9,1,5,0.2212284952402115,6.479688405990601
10,1,5,0.2215161770582199,4.713271856307983
11,1,5,0.25680096447467804,4.918090581893921
12,1,7,0.25148721039295197,8.374726057052612
13,1,7,0.21286112815141678,11.150881528854372
14,1,7,0.2646115571260452,5.9268834590911865
15,1,9,0.21917247772216797,6.5138795375823975
16,1,9,0.2596827298402786,6.85325026512146
17,1,9,0.21654655784368515,8.08169150352478
18,1,11,0.2695620507001877,10.073836088180542
19,1,11,0.4184907227754593,11.297997236251831
20,2,1,0.25657524168491364,-0.19284510612487793
21,2,1,0.262965589761734,-1.5264813899993896
22,2,1,0.25863322615623474,2.6636276245117188
23,2,2,0.2522573322057724,1.0457777976989746
24,2,2,0.25960730016231537,1.575373649597168
25,2,3,0.2244105488061905,1.5197997093200684
26,2,3,0.22105828672647476,3.878711700439453
27,2,4,0.25370705127716064,4.895103454589844
28,2,4,0.2381509616971016,0.6346206665039062
29,2,5,0.21814507246017456,3.0672855377197266
30,2,5,0.2238840088248253,4.168173789978027
31,2,5,0.2461160495877266,3.995903491973877
32,2,7,0.25472308695316315,4.457944869995117
33,2,7,0.2308240681886673,7.639055252075195
34,2,7,0.246847465634346,3.2706432342529297
35,2,9,0.22536060959100723,5.598715782165527
36,2,9,0.25611838698387146,5.736371040344238
37,2,9,0.21870586276054382,7.346713066101074
38,2,11,0.2651755213737488,10.282914161682129
39,2,11,0.4939933121204376,8.299379348754883
40,3,1,0.26831813156604767,1.1904115676879883
41,3,1,0.2580161541700363,-0.5236178636550903
42,3,1,0.2664058357477188,2.886070728302002
43,3,2,0.2509615123271942,1.7330322265625
44,3,2,0.2671227604150772,2.261023998260498
45,3,3,0.22733930498361588,3.5980982780456543
46,3,3,0.23413004726171494,3.8815340995788574
47,3,4,0.27959948778152466,5.786186695098877
48,3,4,0.2721310257911682,2.2665157318115234
49,3,5,0.24513627588748932,4.3117899894714355
50,3,5,0.23036082834005356,5.229650020599365
51,3,5,0.2730338126420975,4.279533386230469
52,3,7,0.2615272253751755,5.7785563468933105
53,3,7,0.23003274202346802,7.7069268226623535
54,3,7,0.2599293813109398,4.8450446128845215
55,3,9,0.22950462251901627,7.681619167327881
56,3,9,0.2716110646724701,8.061546802520752
57,3,9,0.22665784507989883,7.943366527557373
58,3,11,0.2814982086420059,10.560323238372803
59,3,11,0.4451836943626404,11.277281284332274
60,4,1,0.2548811584711075,1.461843729019165
61,4,1,0.2707252502441406,0.41353845596313477
62,4,1,0.27314120531082153,3.012333631515503
63,4,2,0.24279238283634186,1.5951049327850342
64,4,2,0.2785736620426178,1.4945027828216553
65,4,3,0.22735147923231125,2.3205974102020264
66,4,3,0.2268407642841339,3.2664148807525635
67,4,4,0.27732257544994354,4.684664487838745
68,4,4,0.27453552186489105,2.3887455463409424
