#--- Experiment --------------------------------------------------------------------------
#bap_smelt1_rep5_23may2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SD7-543-215 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	30% (D)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2023-05-23	2001-01-01	22.326134	54.300000	0.804000	0.122000	4000	-0.056000	0.969000	0.577000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.869995	17.015602	100.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
23-05-2023	08:20:11.843	26.450	8.012	22.575	659	0	OK	23-05-2023	08:20:11.843	26.450	17.053	OK	23-05-2023	08:20:11.843	26.450	1014	OK
23-05-2023	08:21:11.840	86.447	8.016	22.568	663	0	OK	23-05-2023	08:21:11.840	86.447	17.055	OK	23-05-2023	08:21:11.840	86.447	1014	OK
23-05-2023	08:22:11.840	146.446	8.023	22.558	668	0	OK	23-05-2023	08:22:11.840	146.446	17.057	OK	23-05-2023	08:22:11.840	146.446	1014	OK
23-05-2023	08:23:11.838	206.444	8.019	22.564	673	0	OK	23-05-2023	08:23:11.838	206.444	17.057	OK	23-05-2023	08:23:11.838	206.444	1014	OK
23-05-2023	08:24:11.838	266.444	8.022	22.558	678	0	OK	23-05-2023	08:24:11.838	266.444	17.058	OK	23-05-2023	08:24:11.838	266.444	1014	OK
23-05-2023	08:25:11.836	326.443	8.007	22.578	683	0	OK	23-05-2023	08:25:11.836	326.443	17.065	OK	23-05-2023	08:25:11.836	326.443	1014	OK
23-05-2023	08:26:11.843	386.449	8.016	22.565	688	0	OK	23-05-2023	08:26:11.843	386.449	17.065	OK	23-05-2023	08:26:11.843	386.449	1014	OK
23-05-2023	08:27:11.840	446.447	8.002	22.586	693	0	OK	23-05-2023	08:27:11.840	446.447	17.063	OK	23-05-2023	08:27:11.840	446.447	1014	OK
23-05-2023	08:28:11.841	506.448	8.001	22.586	699	0	OK	23-05-2023	08:28:11.841	506.448	17.070	OK	23-05-2023	08:28:11.841	506.448	1014	OK
23-05-2023	08:29:11.839	566.446	7.997	22.592	704	0	OK	23-05-2023	08:29:11.839	566.446	17.069	OK	23-05-2023	08:29:11.839	566.446	1014	OK
23-05-2023	08:30:11.842	626.448	7.995	22.594	709	0	OK	23-05-2023	08:30:11.842	626.448	17.072	OK	23-05-2023	08:30:11.842	626.448	1014	OK
23-05-2023	08:31:11.838	686.445	7.993	22.598	714	0	OK	23-05-2023	08:31:11.838	686.445	17.070	OK	23-05-2023	08:31:11.838	686.445	1014	OK
23-05-2023	08:32:11.840	746.447	7.993	22.596	719	0	OK	23-05-2023	08:32:11.840	746.447	17.076	OK	23-05-2023	08:32:11.840	746.447	1014	OK
23-05-2023	08:33:11.843	806.449	7.980	22.616	724	0	OK	23-05-2023	08:33:11.843	806.449	17.074	OK	23-05-2023	08:33:11.843	806.449	1014	OK
23-05-2023	08:34:11.843	866.450	7.981	22.613	729	0	OK	23-05-2023	08:34:11.843	866.450	17.076	OK	23-05-2023	08:34:11.843	866.450	1014	OK
23-05-2023	08:35:11.856	926.463	7.981	22.611	733	0	OK	23-05-2023	08:35:11.856	926.463	17.082	OK	23-05-2023	08:35:11.856	926.463	1014	OK
23-05-2023	08:36:11.842	986.449	7.976	22.620	738	0	OK	23-05-2023	08:36:11.842	986.449	17.079	OK	23-05-2023	08:36:11.842	986.449	1014	OK
23-05-2023	08:37:11.843	1046.449	7.973	22.622	742	0	OK	23-05-2023	08:37:11.843	1046.449	17.084	OK	23-05-2023	08:37:11.843	1046.449	1014	OK
23-05-2023	08:38:11.844	1106.451	7.981	22.609	746	0	OK	23-05-2023	08:38:11.844	1106.451	17.088	OK	23-05-2023	08:38:11.844	1106.451	1014	OK
23-05-2023	08:39:11.843	1166.450	7.974	22.619	749	0	OK	23-05-2023	08:39:11.843	1166.450	17.088	OK	23-05-2023	08:39:11.843	1166.450	1014	OK
23-05-2023	08:40:11.844	1226.451	7.972	22.622	753	0	OK	23-05-2023	08:40:11.844	1226.451	17.089	OK	23-05-2023	08:40:11.844	1226.451	1014	OK
23-05-2023	08:41:11.844	1286.450	7.973	22.621	756	0	OK	23-05-2023	08:41:11.844	1286.450	17.090	OK	23-05-2023	08:41:11.844	1286.450	1014	OK
23-05-2023	08:42:11.844	1346.451	7.966	22.630	760	0	OK	23-05-2023	08:42:11.844	1346.451	17.094	OK	23-05-2023	08:42:11.844	1346.451	1014	OK
23-05-2023	08:43:11.843	1406.450	7.970	22.622	763	0	OK	23-05-2023	08:43:11.843	1406.450	17.096	OK	23-05-2023	08:43:11.843	1406.450	1014	OK
23-05-2023	08:44:11.893	1466.499	7.970	22.622	766	0	OK	23-05-2023	08:44:11.893	1466.499	17.098	OK	23-05-2023	08:44:11.893	1466.499	1014	OK
23-05-2023	08:45:11.768	1526.375	7.965	22.628	769	0	OK	23-05-2023	08:45:11.768	1526.375	17.102	OK	23-05-2023	08:45:11.768	1526.375	1014	OK
23-05-2023	08:46:11.771	1586.377	7.966	22.625	772	0	OK	23-05-2023	08:46:11.771	1586.377	17.106	OK	23-05-2023	08:46:11.771	1586.377	1014	OK
