#--- Experiment --------------------------------------------------------------------------
#bap_smelt5_rep3_08jun2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SD7-543-215 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	30% (D)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2023-06-08	2001-01-01	22.870667	54.300000	0.804000	0.122000	4000	-0.056000	0.969000	0.577000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.797974	17.014336	100.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
08-06-2023	11:21:10.995	35.309	8.285	22.620	890	-1	OK	08-06-2023	11:21:10.995	35.309	17.455	OK	08-06-2023	11:21:10.995	35.309	1017	OK
08-06-2023	11:22:10.999	95.313	8.267	22.646	891	0	OK	08-06-2023	11:22:10.999	95.313	17.455	OK	08-06-2023	11:22:10.999	95.313	1017	OK
08-06-2023	11:23:11.000	155.314	8.257	22.661	886	-1	OK	08-06-2023	11:23:11.000	155.314	17.456	OK	08-06-2023	11:23:11.000	155.314	1017	OK
08-06-2023	11:24:11.000	215.313	8.257	22.660	892	-1	OK	08-06-2023	11:24:11.000	215.313	17.459	OK	08-06-2023	11:24:11.000	215.313	1017	OK
08-06-2023	11:25:11.000	275.314	8.250	22.669	893	0	OK	08-06-2023	11:25:11.000	275.314	17.462	OK	08-06-2023	11:25:11.000	275.314	1017	OK
08-06-2023	11:26:11.000	335.314	8.243	22.678	894	0	OK	08-06-2023	11:26:11.000	335.314	17.464	OK	08-06-2023	11:26:11.000	335.314	1017	OK
08-06-2023	11:27:11.000	395.314	8.232	22.693	895	0	OK	08-06-2023	11:27:11.000	395.314	17.465	OK	08-06-2023	11:27:11.000	395.314	1017	OK
08-06-2023	11:28:11.001	455.314	8.227	22.701	896	0	OK	08-06-2023	11:28:11.001	455.314	17.466	OK	08-06-2023	11:28:11.001	455.314	1017	OK
08-06-2023	11:29:11.001	515.314	8.224	22.703	897	0	OK	08-06-2023	11:29:11.001	515.314	17.472	OK	08-06-2023	11:29:11.001	515.314	1017	OK
08-06-2023	11:30:11.001	575.314	8.216	22.713	897	0	OK	08-06-2023	11:30:11.001	575.314	17.475	OK	08-06-2023	11:30:11.001	575.314	1017	OK
08-06-2023	11:31:11.000	635.314	8.214	22.715	899	0	OK	08-06-2023	11:31:11.000	635.314	17.476	OK	08-06-2023	11:31:11.000	635.314	1017	OK
08-06-2023	11:32:11.001	695.314	8.215	22.714	900	0	OK	08-06-2023	11:32:11.001	695.314	17.475	OK	08-06-2023	11:32:11.001	695.314	1017	OK
08-06-2023	11:33:11.001	755.314	8.215	22.713	900	0	OK	08-06-2023	11:33:11.001	755.314	17.480	OK	08-06-2023	11:33:11.001	755.314	1017	OK
08-06-2023	11:34:11.001	815.314	8.212	22.717	901	0	OK	08-06-2023	11:34:11.001	815.314	17.482	OK	08-06-2023	11:34:11.001	815.314	1017	OK
08-06-2023	11:35:11.002	875.315	8.218	22.708	902	0	OK	08-06-2023	11:35:11.002	875.315	17.483	OK	08-06-2023	11:35:11.002	875.315	1017	OK
08-06-2023	11:36:11.002	935.315	8.218	22.707	902	0	OK	08-06-2023	11:36:11.002	935.315	17.484	OK	08-06-2023	11:36:11.002	935.315	1017	OK
08-06-2023	11:37:11.002	995.316	8.209	22.718	903	0	OK	08-06-2023	11:37:11.002	995.316	17.489	OK	08-06-2023	11:37:11.002	995.316	1017	OK
08-06-2023	11:38:11.002	1055.316	8.208	22.720	903	0	OK	08-06-2023	11:38:11.002	1055.316	17.490	OK	08-06-2023	11:38:11.002	1055.316	1017	OK
08-06-2023	11:39:11.002	1115.315	8.209	22.717	904	0	OK	08-06-2023	11:39:11.002	1115.315	17.494	OK	08-06-2023	11:39:11.002	1115.315	1017	OK
08-06-2023	11:40:11.001	1175.315	8.207	22.719	904	0	OK	08-06-2023	11:40:11.001	1175.315	17.495	OK	08-06-2023	11:40:11.001	1175.315	1017	OK
08-06-2023	11:41:11.002	1235.316	8.200	22.729	904	0	OK	08-06-2023	11:41:11.002	1235.316	17.497	OK	08-06-2023	11:41:11.002	1235.316	1017	OK
08-06-2023	11:42:11.002	1295.315	8.204	22.723	904	0	OK	08-06-2023	11:42:11.002	1295.315	17.496	OK	08-06-2023	11:42:11.002	1295.315	1017	OK
08-06-2023	11:43:11.002	1355.315	8.218	22.702	904	0	OK	08-06-2023	11:43:11.002	1355.315	17.498	OK	08-06-2023	11:43:11.002	1355.315	1017	OK
08-06-2023	11:44:11.001	1415.315	8.207	22.717	906	0	OK	08-06-2023	11:44:11.001	1415.315	17.504	OK	08-06-2023	11:44:11.001	1415.315	1017	OK
08-06-2023	11:45:11.008	1475.322	8.211	22.711	906	0	OK	08-06-2023	11:45:11.008	1475.322	17.504	OK	08-06-2023	11:45:11.008	1475.322	1017	OK
08-06-2023	11:46:11.010	1535.323	8.202	22.721	906	0	OK	08-06-2023	11:46:11.010	1535.323	17.511	OK	08-06-2023	11:46:11.010	1535.323	1017	OK
08-06-2023	11:47:11.016	1595.330	8.216	22.702	906	0	OK	08-06-2023	11:47:11.016	1595.330	17.509	OK	08-06-2023	11:47:11.016	1595.330	1018	OK
08-06-2023	11:48:11.017	1655.331	8.162	22.779	910	-1	OK	08-06-2023	11:48:11.017	1655.331	17.510	OK	08-06-2023	11:48:11.017	1655.331	1017	OK
08-06-2023	11:49:11.025	1715.339	8.153	22.792	910	0	OK	08-06-2023	11:49:11.025	1715.339	17.514	OK	08-06-2023	11:49:11.025	1715.339	1018	OK
08-06-2023	11:50:11.160	1775.474	8.158	22.783	910	-1	OK	08-06-2023	11:50:11.160	1775.474	17.517	OK	08-06-2023	11:50:11.160	1775.474	1017	OK
08-06-2023	11:51:11.041	1835.354	8.156	22.786	909	-1	OK	08-06-2023	11:51:11.041	1835.354	17.519	OK	08-06-2023	11:51:11.041	1835.354	1017	OK
08-06-2023	11:52:11.161	1895.475	8.149	22.796	909	0	OK	08-06-2023	11:52:11.161	1895.475	17.519	OK	08-06-2023	11:52:11.161	1895.475	1017	OK
08-06-2023	11:53:11.048	1955.361	8.148	22.797	909	-1	OK	08-06-2023	11:53:11.048	1955.361	17.518	OK	08-06-2023	11:53:11.048	1955.361	1017	OK
