#--- Experiment --------------------------------------------------------------------------
#bap_smelt2_rep5_24may2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SD7-543-215 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	30% (D)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2023-05-24	2001-01-01	22.294668	54.300000	0.804000	0.122000	4000	-0.056000	0.969000	0.577000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.888977	17.180799	100.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
24-05-2023	09:45:48.724	0.119	8.098	22.368	842	0	OK	24-05-2023	09:45:48.724	0.119	17.356	OK	24-05-2023	09:45:48.724	0.119	1017	OK
24-05-2023	09:46:48.771	60.165	8.094	22.373	844	0	OK	24-05-2023	09:46:48.771	60.165	17.359	OK	24-05-2023	09:46:48.771	60.165	1017	OK
24-05-2023	09:47:48.773	120.167	8.095	22.370	851	0	OK	24-05-2023	09:47:48.773	120.167	17.365	OK	24-05-2023	09:47:48.773	120.167	1017	OK
24-05-2023	09:48:48.773	180.168	8.093	22.373	854	0	OK	24-05-2023	09:48:48.773	180.168	17.363	OK	24-05-2023	09:48:48.773	180.168	1017	OK
24-05-2023	09:49:48.785	240.179	8.096	22.367	858	0	OK	24-05-2023	09:49:48.785	240.179	17.368	OK	24-05-2023	09:49:48.785	240.179	1017	OK
24-05-2023	09:50:48.784	300.178	8.096	22.367	863	0	OK	24-05-2023	09:50:48.784	300.178	17.367	OK	24-05-2023	09:50:48.784	300.178	1017	OK
24-05-2023	09:51:48.782	360.177	8.086	22.381	868	0	OK	24-05-2023	09:51:48.782	360.177	17.371	OK	24-05-2023	09:51:48.782	360.177	1017	OK
24-05-2023	09:52:48.785	420.179	8.091	22.373	871	-1	OK	24-05-2023	09:52:48.785	420.179	17.372	OK	24-05-2023	09:52:48.785	420.179	1017	OK
24-05-2023	09:53:48.783	480.177	8.089	22.375	872	0	OK	24-05-2023	09:53:48.783	480.177	17.377	OK	24-05-2023	09:53:48.783	480.177	1017	OK
24-05-2023	09:54:48.796	540.191	8.088	22.376	874	0	OK	24-05-2023	09:54:48.796	540.191	17.375	OK	24-05-2023	09:54:48.796	540.191	1017	OK
24-05-2023	09:55:48.805	600.200	8.086	22.379	875	0	OK	24-05-2023	09:55:48.805	600.200	17.377	OK	24-05-2023	09:55:48.805	600.200	1017	OK
24-05-2023	09:56:48.817	660.212	8.091	22.371	878	0	OK	24-05-2023	09:56:48.817	660.212	17.380	OK	24-05-2023	09:56:48.817	660.212	1017	OK
24-05-2023	09:57:48.817	720.212	8.089	22.373	880	0	OK	24-05-2023	09:57:48.817	720.212	17.380	OK	24-05-2023	09:57:48.817	720.212	1017	OK
24-05-2023	09:58:48.828	780.223	8.091	22.369	882	0	OK	24-05-2023	09:58:48.828	780.223	17.385	OK	24-05-2023	09:58:48.828	780.223	1017	OK
24-05-2023	09:59:48.836	840.230	8.076	22.390	883	0	OK	24-05-2023	09:59:48.836	840.230	17.386	OK	24-05-2023	09:59:48.836	840.230	1017	OK
24-05-2023	10:00:48.839	900.234	8.084	22.378	889	0	OK	24-05-2023	10:00:48.839	900.234	17.389	OK	24-05-2023	10:00:48.839	900.234	1017	OK
24-05-2023	10:01:48.850	960.244	8.086	22.375	891	0	OK	24-05-2023	10:01:48.850	960.244	17.390	OK	24-05-2023	10:01:48.850	960.244	1017	OK
24-05-2023	10:02:48.874	1020.268	8.083	22.378	891	0	OK	24-05-2023	10:02:48.874	1020.268	17.391	OK	24-05-2023	10:02:48.874	1020.268	1017	OK
24-05-2023	10:03:48.861	1080.255	8.085	22.375	890	0	OK	24-05-2023	10:03:48.861	1080.255	17.393	OK	24-05-2023	10:03:48.861	1080.255	1017	OK
24-05-2023	10:04:48.861	1140.256	8.083	22.377	890	0	OK	24-05-2023	10:04:48.861	1140.256	17.397	OK	24-05-2023	10:04:48.861	1140.256	1017	OK
24-05-2023	10:05:48.872	1200.267	8.074	22.388	891	0	OK	24-05-2023	10:05:48.872	1200.267	17.400	OK	24-05-2023	10:05:48.872	1200.267	1017	OK
24-05-2023	10:06:48.862	1260.257	8.078	22.383	892	0	OK	24-05-2023	10:06:48.862	1260.257	17.399	OK	24-05-2023	10:06:48.862	1260.257	1017	OK
24-05-2023	10:07:48.874	1320.269	8.076	22.385	892	0	OK	24-05-2023	10:07:48.874	1320.269	17.402	OK	24-05-2023	10:07:48.874	1320.269	1017	OK
24-05-2023	10:08:48.880	1380.275	8.074	22.388	893	0	OK	24-05-2023	10:08:48.880	1380.275	17.401	OK	24-05-2023	10:08:48.880	1380.275	1017	OK
24-05-2023	10:09:48.873	1440.268	8.073	22.388	894	0	OK	24-05-2023	10:09:48.873	1440.268	17.406	OK	24-05-2023	10:09:48.873	1440.268	1017	OK
24-05-2023	10:10:48.891	1500.286	8.075	22.385	895	0	OK	24-05-2023	10:10:48.891	1500.286	17.407	OK	24-05-2023	10:10:48.891	1500.286	1017	OK
24-05-2023	10:11:48.908	1560.303	8.072	22.388	896	0	OK	24-05-2023	10:11:48.908	1560.303	17.409	OK	24-05-2023	10:11:48.908	1560.303	1017	OK
24-05-2023	10:12:48.903	1620.298	8.070	22.391	897	0	OK	24-05-2023	10:12:48.903	1620.298	17.412	OK	24-05-2023	10:12:48.903	1620.298	1017	OK
24-05-2023	10:13:48.902	1680.297	8.070	22.390	898	0	OK	24-05-2023	10:13:48.902	1680.297	17.414	OK	24-05-2023	10:13:48.902	1680.297	1017	OK
24-05-2023	10:14:48.895	1740.290	8.068	22.393	899	0	OK	24-05-2023	10:14:48.895	1740.290	17.415	OK	24-05-2023	10:14:48.895	1740.290	1017	OK
24-05-2023	10:15:48.893	1800.288	8.063	22.399	900	0	OK	24-05-2023	10:15:48.893	1800.288	17.417	OK	24-05-2023	10:15:48.893	1800.288	1017	OK
24-05-2023	10:16:48.917	1860.312	8.071	22.387	901	0	OK	24-05-2023	10:16:48.917	1860.312	17.418	OK	24-05-2023	10:16:48.917	1860.312	1017	OK
24-05-2023	10:17:48.794	1920.189	8.060	22.403	902	0	OK	24-05-2023	10:17:48.794	1920.189	17.420	OK	24-05-2023	10:17:48.794	1920.189	1017	OK
24-05-2023	10:18:48.795	1980.190	8.027	22.451	905	0	OK	24-05-2023	10:18:48.795	1980.190	17.421	OK	24-05-2023	10:18:48.795	1980.190	1017	OK
24-05-2023	10:19:48.787	2040.182	8.020	22.459	906	0	OK	24-05-2023	10:19:48.787	2040.182	17.426	OK	24-05-2023	10:19:48.787	2040.182	1017	OK
24-05-2023	10:20:48.913	2100.307	8.020	22.459	908	0	OK	24-05-2023	10:20:48.913	2100.307	17.427	OK	24-05-2023	10:20:48.913	2100.307	1017	OK
24-05-2023	10:21:48.924	2160.319	8.023	22.453	911	0	OK	24-05-2023	10:21:48.924	2160.319	17.430	OK	24-05-2023	10:21:48.924	2160.319	1017	OK
24-05-2023	10:22:48.812	2220.207	8.015	22.465	912	0	OK	24-05-2023	10:22:48.812	2220.207	17.432	OK	24-05-2023	10:22:48.812	2220.207	1017	OK
24-05-2023	10:23:48.933	2280.328	8.011	22.469	913	0	OK	24-05-2023	10:23:48.933	2280.328	17.435	OK	24-05-2023	10:23:48.933	2280.328	1017	OK
