#--- Experiment --------------------------------------------------------------------------
#bap_smelt2_rep1_16may2023
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-O4BG9M2
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:247475085D64A6AC Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SD7-543-215 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	30% (D)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	2023-05-16	2001-01-01	22.325933	54.300000	0.804000	0.122000	4000	-0.056000	0.969000	0.577000	0.000000	-0.000303	0.000000	0.000000	fixed f	1004.973999	17.145267	100.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
16-05-2023	09:31:10.940	39.877	8.074	22.345	709	0	OK	16-05-2023	09:31:10.940	39.877	17.188	OK	16-05-2023	09:31:10.940	39.877	1005	OK
16-05-2023	09:32:10.941	99.879	8.069	22.352	709	0	OK	16-05-2023	09:32:10.941	99.879	17.189	OK	16-05-2023	09:32:10.941	99.879	1005	OK
16-05-2023	09:33:10.941	159.879	8.075	22.342	709	-1	OK	16-05-2023	09:33:10.941	159.879	17.194	OK	16-05-2023	09:33:10.941	159.879	1005	OK
16-05-2023	09:34:10.941	219.878	8.071	22.349	710	0	OK	16-05-2023	09:34:10.941	219.878	17.192	OK	16-05-2023	09:34:10.941	219.878	1005	OK
16-05-2023	09:35:10.942	279.880	8.066	22.353	710	0	OK	16-05-2023	09:35:10.942	279.880	17.198	OK	16-05-2023	09:35:10.942	279.880	1005	OK
16-05-2023	09:36:10.943	339.880	8.065	22.353	710	0	OK	16-05-2023	09:36:10.943	339.880	17.204	OK	16-05-2023	09:36:10.943	339.880	1005	OK
16-05-2023	09:37:10.943	399.880	8.062	22.359	710	0	OK	16-05-2023	09:37:10.943	399.880	17.201	OK	16-05-2023	09:37:10.943	399.880	1005	OK
16-05-2023	09:38:10.942	459.880	8.069	22.347	710	0	OK	16-05-2023	09:38:10.942	459.880	17.205	OK	16-05-2023	09:38:10.942	459.880	1005	OK
16-05-2023	09:39:10.942	519.880	8.069	22.347	710	0	OK	16-05-2023	09:39:10.942	519.880	17.204	OK	16-05-2023	09:39:10.942	519.880	1005	OK
16-05-2023	09:40:10.943	579.880	8.058	22.362	710	0	OK	16-05-2023	09:40:10.943	579.880	17.209	OK	16-05-2023	09:40:10.943	579.880	1005	OK
16-05-2023	09:41:10.942	639.880	8.069	22.344	710	0	OK	16-05-2023	09:41:10.942	639.880	17.212	OK	16-05-2023	09:41:10.942	639.880	1005	OK
16-05-2023	09:42:10.942	699.879	8.064	22.351	710	0	OK	16-05-2023	09:42:10.942	699.879	17.214	OK	16-05-2023	09:42:10.942	699.879	1005	OK
16-05-2023	09:43:10.942	759.879	8.069	22.343	710	-1	OK	16-05-2023	09:43:10.942	759.879	17.217	OK	16-05-2023	09:43:10.942	759.879	1005	OK
16-05-2023	09:44:10.941	819.879	8.063	22.351	711	0	OK	16-05-2023	09:44:10.941	819.879	17.217	OK	16-05-2023	09:44:10.941	819.879	1005	OK
16-05-2023	09:45:10.942	879.880	8.064	22.350	711	0	OK	16-05-2023	09:45:10.942	879.880	17.219	OK	16-05-2023	09:45:10.942	879.880	1005	OK
16-05-2023	09:46:10.943	939.880	8.061	22.353	711	0	OK	16-05-2023	09:46:10.943	939.880	17.221	OK	16-05-2023	09:46:10.943	939.880	1005	OK
16-05-2023	09:47:10.944	999.881	8.064	22.348	711	0	OK	16-05-2023	09:47:10.944	999.881	17.225	OK	16-05-2023	09:47:10.944	999.881	1005	OK
16-05-2023	09:48:10.943	1059.881	8.056	22.358	711	0	OK	16-05-2023	09:48:10.943	1059.881	17.228	OK	16-05-2023	09:48:10.943	1059.881	1005	OK
16-05-2023	09:49:10.944	1119.881	8.058	22.354	711	0	OK	16-05-2023	09:49:10.944	1119.881	17.230	OK	16-05-2023	09:49:10.944	1119.881	1005	OK
16-05-2023	09:50:10.944	1179.882	8.058	22.353	712	0	OK	16-05-2023	09:50:10.944	1179.882	17.233	OK	16-05-2023	09:50:10.944	1179.882	1005	OK
16-05-2023	09:51:10.959	1239.897	8.057	22.356	712	0	OK	16-05-2023	09:51:10.959	1239.897	17.231	OK	16-05-2023	09:51:10.959	1239.897	1005	OK
16-05-2023	09:52:10.967	1299.904	8.058	22.352	712	0	OK	16-05-2023	09:52:10.967	1299.904	17.238	OK	16-05-2023	09:52:10.967	1299.904	1005	OK
